Step,AgentID,Type,Current_Emissions,Total_Emissions,Efficiency,A_Star_Cost,Position
1,50,business,257.7230827000097,257.7230827000097,0.38264014333490076,278.4604268415374,"(0, 4)"
1,51,business,302.4556725913828,302.4556725913828,0.407741764277992,325.93807319451327,"(4, 0)"
1,52,business,220.64849773169894,220.64849773169894,0.3964395245980847,235.92068897987355,"(3, 2)"
1,53,business,220.73226944146052,220.73226944146052,0.3226605227496808,234.43838549465366,"(18, 11)"
1,54,business,272.2867803423239,272.2867803423239,0.4011630502610009,295.45292201633634,"(12, 7)"
1,55,vehicle,4.907139837986757,4.907139837986757,0.7260892633926282,10.09187119273474,"(12, 5)"
1,56,vehicle,4.494224212616944,4.494224212616944,0.6320367377191024,9.168821702091691,"(5, 7)"
1,57,vehicle,5.546863646933872,5.546863646933872,0.5325930117130259,11.222997199003986,"(9, 10)"
1,58,vehicle,4.732133430140035,4.732133430140035,0.5611619762598326,9.597163696361143,"(8, 9)"
1,59,vehicle,8.884234233982747,8.884234233982747,0.6614529684404387,18.170207744056356,"(7, 12)"
1,60,vehicle,16.482407102405475,16.482407102405475,0.7219342614648102,35.69783473071651,"(10, 13)"
1,61,vehicle,3.9671612685195834,3.9671612685195834,0.7013263620354948,8.141375639864386,"(5, 14)"
1,62,vehicle,3.3493226635357334,3.3493226635357334,0.5734588936326244,6.799642979449569,"(10, 16)"
1,63,vehicle,32.34855905841392,32.34855905841392,0.6470974140206844,69.59305743509049,"(7, 19)"
1,64,vehicle,5.833366756619204,5.833366756619204,0.5893428464391771,11.85831177838488,"(2, 0)"
1,65,vehicle,28.178485380812624,28.178485380812624,0.5753735714325285,60.24050881672567,"(15, 8)"
1,66,vehicle,7.437040810180788,7.437040810180788,0.6689644248746007,15.220095559248744,"(11, 1)"
1,67,vehicle,3.7118594728219723,3.7118594728219723,0.6986990009305114,7.615731439340698,"(10, 11)"
1,68,vehicle,5.4468293574687685,5.4468293574687685,0.5937861896678651,11.076650442902721,"(13, 8)"
1,69,vehicle,8.295831272465325,8.295831272465325,0.5970251311766611,16.874935967307167,"(6, 15)"
1,70,vehicle,8.05645804401425,8.05645804401425,0.5486264633298618,16.322235390637395,"(5, 13)"
1,71,vehicle,2.8014483564292956,2.8014483564292956,0.5897963801675852,5.6951168407262305,"(6, 6)"
1,72,vehicle,7.948797426326625,7.948797426326625,0.7050451663006654,16.317663220803333,"(3, 4)"
1,73,vehicle,6.300648749498498,6.300648749498498,0.6239155295783245,12.845380448250882,"(18, 2)"
1,74,vehicle,2.539625911274162,2.539625911274162,0.7909426479143968,5.252472158336961,"(17, 6)"
1,75,vehicle,9.40424230469336,9.40424230469336,0.7470417069839362,19.375570299796912,"(5, 5)"
1,76,vehicle,3.4127649348116096,3.4127649348116096,0.6188561045788799,6.954778367031051,"(13, 13)"
1,77,vehicle,31.586556484125985,31.586556484125985,0.6192764145322243,67.7867478512445,"(9, 9)"
1,78,vehicle,7.160777114036314,7.160777114036314,0.6532135153084399,14.635125170396357,"(16, 12)"
