,Total_Emissions,Household_Emissions,Business_Emissions,Vehicle_Emissions,Energy_Emissions,Avg_Efficiency,Total_A_Star_Cost
47,5896.892756677354,1122.2716560554195,3423.2883709574294,198.326781886631,1153.0059477778757,0.9772530213359909,323962.38063410076
48,5887.969312889611,1119.7980283669444,3417.2578430687045,197.93012832285774,1152.9833131311061,0.9784294919242261,329852.42400888517
49,5879.0704060825865,1117.3497422351365,3411.225717296899,197.53426806621204,1152.9606784843363,0.9795811729948102,335733.5649004516
50,5870.198346295902,1114.9290032129136,3405.192099715343,197.1391995300796,1152.9380438375667,0.9806399965242221,341605.823885096
51,5861.397055959926,1112.579629379528,3399.1570962585797,196.74492113101945,1152.915409190797,0.9816365775573127,347469.22415344964
52,5852.618996073187,1110.242002415309,3393.1208127112914,196.35143128875734,1152.9047496578328,0.9825777540279009,353323.85522296483
53,5843.862896367199,1107.916063585911,3387.083354697277,195.95872842617987,1152.9047496578328,0.9834388187275338,359169.7390122701
54,5835.501120499949,1105.6017544506599,3381.4278054221313,195.56681096932755,1152.9047496578328,0.9842858775510632,365006.9299609868
55,5827.218155159895,1103.2990168610856,3375.8387112935898,195.1756773473889,1152.9047496578328,0.9851329363745926,370835.7872669084
56,5818.947212210402,1101.0077929594586,3370.2493436004165,194.78532599269414,1152.9047496578328,0.9859159318953937,376656.3823259312
57,5811.0253701376205,1098.7280251773402,3364.996839961739,194.39575534070872,1152.9047496578328,0.9866688730718642,382468.73117407877
58,5803.27394271318,1096.459656234132,3359.902572991189,194.0069638300273,1152.9047496578328,0.9874218142483351,388273.18097625487
59,5795.535030566126,1094.20262913564,3354.808701870287,193.61894990236726,1152.9047496578328,0.9881747554248056,394069.90044068295
60,5787.808653434124,1091.9568871726406,3349.715304601092,193.23171200256246,1152.9047496578328,0.9889276966012761,399858.9020622214
61,5780.0948311985585,1089.7223739194562,3344.622459042713,192.84524857855737,1152.9047496578328,0.9896806377777466,405640.19835580536
62,5772.393583874725,1087.4990332325376,3339.5302429029534,192.45955808140027,1152.9047496578328,0.9904202258411755,411413.8018565793
63,5764.7631878750035,1085.2868092490532,3334.49699000288,192.0746389652375,1152.9047496578328,0.9910790493705872,417179.7297017669
64,5757.497615723716,1083.0856463854868,3329.816729993089,191.69048968730698,1152.9047496578328,0.9917378728999989,422938.07570710196
65,5750.2451529635455,1080.895489336238,3325.1378052615387,191.3071087079324,1152.9047496578328,0.9923966964294108,428689.1775860464
66,5727.005807577958,1062.7162830722355,3320.4602803573753,190.9244944905165,1152.9047496578328,0.9930555199588226,434417.04841697623
67,5719.7795876829205,1060.5479728395528,3315.7842196839983,190.54264550153542,1152.9047496578328,0.9937143434882343,440137.70128657244
68,5712.566501518422,1058.3905041580338,3311.1096874920245,190.16156021053234,1152.9047496578328,0.9942973409688856,445851.1492899449
69,5705.695865965943,1056.2438228199223,3306.7660563980758,189.78123709011135,1152.9047496578328,0.9948620468512382,451557.4239960277
70,5698.918122200178,1054.1078748885013,3302.503823037914,189.4016746159311,1152.9047496578328,0.9954267527335914,457256.85411656037
71,5692.153956729474,1051.9826066967378,3298.2437291082074,189.02287126669927,1152.9047496578328,0.9959914586159444,462949.52817682433
72,5685.403367003303,1049.8679648459326,3293.985826975374,188.6448255241658,1152.9047496578328,0.9965561644982972,468635.45971468824
73,5678.6663505964725,1047.7638962043816,3289.730168861138,188.26753587311748,1152.9047496578328,0.99712087038065,474314.66226578073
74,5671.942905201917,1045.6703479060386,3285.476806836674,187.8910008013713,1152.9047496578328,0.9976855762630032,479987.14936360606
75,5665.233028623599,1043.587267349187,3281.225792816814,187.51521879976852,1152.9047496578328,0.998250282145356,485652.93453965517
76,5658.5367187694155,1041.5146021951196,3276.9771785542925,187.14018836216897,1152.9047496578328,0.9987102255037209,491312.0313235075
77,5652.414473249667,1039.4523003668226,3273.2915152395676,186.76590798544467,1152.9047496578328,0.9990344663908022,496964.4904311008
78,5646.9231322119285,1037.400310047667,3270.2256963369555,186.39237616947372,1152.9047496578328,0.9992623607774657,502610.87347394583
79,5641.825954299177,1035.3585796801074,3267.5430335441006,186.0195914171348,1152.9047496578328,0.9993724767382316,508251.8240822417
80,5637.263884876816,1033.3270579643859,3265.384525020297,185.64755223430052,1152.9047496578328,0.9994665943852903,513887.7049522226
81,5632.791636927646,1031.3056938572424,3263.30493628274,185.27625712983192,1152.9047496578328,0.9995607120323491,519519.0460371392
